time: 0 seconds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,

time: 1 seconds
,0,1,2,3,4,5,6,7,8,9
0,316.5,-337.73858410886174,-337.985368031968,-338.16189112049585,-338.2924982425427,-338.39183567002544,-338.4691435470863,-310.80433893452226,-311.02852969407274,-346.75988671874995,
1,316.5,-337.73858410886174,-337.985368031968,-338.16189112049585,-338.2924982425427,-338.39183567002544,-338.4691435470863,-310.80433893452226,-311.02852969407274,-348.442725,
2,316.5,-337.73858410886174,-337.985368031968,-338.16189112049585,-338.2924982425427,-338.39183567002544,-338.4691435470863,-310.80433893452226,-311.02852969407274,-355.73502421874997,
3,316.5,-337.73858410886174,-337.985368031968,-338.16189112049585,-338.2924982425427,-338.39183567002544,-338.4691435470863,-310.80433893452226,-311.02852969407274,-352.36934765625006,
4,316.5,-337.73858410886174,-337.985368031968,-338.16189112049585,-338.2924982425427,-338.39183567002544,-338.4691435470863,-310.80433893452226,-311.02852969407274,-348.16225195312506,

time: 2 seconds
,0,1,2,3,4,5,6,7,8,9
0,313.9727463208177,375.7943352269026,360.9292459446278,361.30636081538177,361.5855089261052,361.7978956696681,362.8591843492404,301.93662866278396,300.51941488880567,395.0471894553304,
1,313.9727463208177,375.7943352269026,360.9292459446278,361.30636081538177,361.5855089261052,361.7978956696681,362.8591843492404,301.93662866278396,300.2764551119502,397.3317159028006,
2,313.9727463208177,375.7943352269026,360.9292459446278,361.30636081538177,361.5855089261052,361.7978956696681,362.8591843492404,301.93662866278396,299.22362941224316,407.36969581398796,
3,313.9727463208177,375.7943352269026,360.9292459446278,361.30636081538177,361.5855089261052,361.7978956696681,362.8591843492404,301.93662866278396,299.70954896595407,402.71193507017244,
4,313.9727463208177,375.7943352269026,360.9292459446278,361.30636081538177,361.5855089261052,361.7978956696681,362.8591843492404,301.93662866278396,300.31694840809274,396.9513760763396,

time: 3 seconds
,0,1,2,3,4,5,6,7,8,9
0,314.2115565069039,-402.97850438711487,-385.05902475965195,-386.0348749221753,-386.4823466122566,-386.79371291418767,-390.0421343026366,-289.56962355392,-281.50993351013415,-445.3450317292434,
1,314.2115565069039,-402.97850438711487,-385.05902475965195,-386.0348749221753,-386.4823466122566,-386.79371291418767,-390.0421343026366,-289.60492864649433,-280.8779561524579,-450.09634914202314,
2,314.2115565069039,-402.97850438711487,-385.05902475965195,-386.0348749221753,-386.4823466122566,-386.79371291418767,-390.0421343026366,-289.757917380983,-278.11492005268843,-471.0466733166997,
3,314.2115565069039,-402.97850438711487,-385.05902475965195,-386.0348749221753,-386.4823466122566,-386.79371291418767,-390.0421343026366,-289.68730719583436,-279.39415366158397,-461.3122115552286,
4,314.2115565069039,-402.97850438711487,-385.05902475965195,-386.0348749221753,-386.4823466122566,-386.79371291418767,-390.0421343026366,-289.5990444643986,-280.98304815310576,-449.3056065338104,

time: 4 seconds
,0,1,2,3,4,5,6,7,8,9
0,311.4411280056007,447.51898649505114,410.73285589763617,412.4649941530305,413.09440044601087,413.4496773604138,420.44602230272295,273.75554967890344,252.0391209674224,519.9070652075013,
1,311.4411280056007,447.51898649505114,410.73285589763617,412.4649941530305,413.09440044601087,413.4496773604138,420.44488143326964,273.89125654953807,250.5630707486589,526.329469863804,
2,311.4411280056007,447.51898649505114,410.73285589763617,412.4649941530305,413.09440044601087,413.4496773604138,420.4399376656388,274.48362426264487,244.07234001945784,555.0063385014498,
3,311.4411280056007,447.51898649505114,410.73285589763617,412.4649941530305,413.09440044601087,413.4496773604138,420.44221940454537,274.20957799627024,247.08347893643165,541.6181212614912,
4,311.4411280056007,447.51898649505114,410.73285589763617,412.4649941530305,413.09440044601087,413.4496773604138,420.44507157817856,273.8687029013192,250.8081422695734,525.2618600887449,

time: 5 seconds
,0,1,2,3,4,5,6,7,8,9
0,311.96678221933246,-482.01832966480475,-437.6684741746012,-440.7166061574419,-441.54192460567043,-441.82835181184345,-454.54989849427926,-254.7941137710265,-206.446858982305,-604.8014351475109,
1,311.96678221933246,-482.01832966480475,-437.6684741746012,-440.7166061574419,-441.54192460567043,-441.82838899638415,-454.5442275517479,-255.17736926983943,-203.66806625591963,-615.1547214321919,
2,311.96678221933246,-482.01832966480475,-437.6684741746012,-440.7166061574419,-441.54192460567043,-441.8285501293941,-454.51950816829003,-256.86015488021644,-191.3581561641783,-661.6193125450807,
3,311.96678221933246,-482.01832966480475,-437.6684741746012,-440.7166061574419,-441.54192460567043,-441.8284757603126,-454.5309385331998,-256.0801810432927,-197.0834781730615,-639.8847515596061,
4,311.96678221933246,-482.01832966480475,-437.6684741746012,-440.7166061574419,-441.54192460567043,-441.8283827989608,-454.5451703901905,-255.11382600417636,-204.12848874085935,-613.4347358002384,

time: 6 seconds
,0,1,2,3,4,5,6,7,8,9
0,308.89970264933373,534.5797674161239,466.2055043155585,470.9276951157233,471.9553618379855,471.981589289078,492.88253628691905,233.82442391184782,139.6611144261687,725.1095299615027,
1,308.89970264933373,534.5797674161239,466.2055043155585,470.9276951157233,471.95536061378175,471.9818160136884,492.8637601296992,234.70511254553583,134.66565476680833,739.1451663958305,
2,308.89970264933373,534.5797674161239,466.2055043155585,470.9276951157233,471.95535530889896,471.9828034598264,492.78149051508433,238.59619613863765,112.39710257867884,802.8555431072723,
3,308.89970264933373,534.5797674161239,466.2055043155585,470.9276951157233,471.95535775730633,471.9823469962953,492.8195947748639,236.78908743608304,122.77641329315529,772.9276061386423,
4,308.89970264933373,534.5797674161239,466.2055043155585,470.9276951157233,471.9553608178157,471.98177831120574,492.8668748834481,234.55947481473453,135.49183209527584,736.8164331985142,

time: 7 seconds
,0,1,2,3,4,5,6,7,8,9
0,309.7714806029022,-578.117229685249,-496.0431426606497,-503.24097479339457,-504.47653514804705,-503.94729270350524,-536.0019165580953,-212.9388867966162,-41.611535026265784,-870.7500766966118,
1,309.7714806029022,-578.117229685249,-496.0431426606497,-503.24097483418194,-504.4765263051039,-503.9481601260054,-535.9522933663686,-214.7612945112644,-33.269415206303705,-891.4883259788662,
2,309.7714806029022,-578.117229685249,-496.0431426606497,-503.2409750109271,-504.47648781267776,-503.9519555595776,-535.7337174736739,-222.86126956136374,4.177234090987689,-986.2038456824357,
3,309.7714806029022,-578.117229685249,-496.0431426606497,-503.24097492935243,-504.47650560291436,-503.95019852406926,-535.8351213264136,-219.09235771313152,-13.31780355644742,-941.6096782476433,
4,309.7714806029022,-578.117229685249,-496.0431426606497,-503.24097482738404,-504.4765277757633,-503.94801618552043,-535.9605062897274,-214.460701585874,-34.64614103509732,-888.0506265856781,

time: 8 seconds
,0,1,2,3,4,5,6,7,8,9
0,306.341661475318,640.6356436035753,527.4918535594406,537.8198782834088,539.2604317295809,537.7464010247215,584.4685022792733,196.13893689717224,-99.03277304438608,1072.0685375354167,
1,306.341661475318,640.6356436035753,527.491853558062,537.8198786239432,539.2603932126099,537.7489958152228,584.3536712038212,199.62134326231288,-112.61497688564648,1100.3203329107414,
2,306.341661475318,640.6356436035753,527.491853552088,537.8198801057302,539.2602248380603,537.7604022491925,583.8452417352995,215.1938092497608,-173.97596941642107,1230.6835806725499,
3,306.341661475318,640.6356436035753,527.4918535548452,537.819879420979,539.2603027573995,537.7551142340658,584.0814999639507,207.93412978244865,-145.24627351409563,1169.0751989167766,
4,306.341661475318,640.6356436035753,527.4918535582917,537.8198785673077,539.2603996051071,537.7485661635915,584.3726319944539,199.04849755825012,-110.37814216917559,1095.643912615946,

time: 9 seconds
,0,1,2,3,4,5,6,7,8,9
0,307.6330033753267,-695.3868994535229,-560.2195170328789,-574.8356849777111,-576.4769122435789,-573.3803180688838,-638.7843051915974,-189.98446469341056,301.2331493704231,-1326.2073829323235,
1,307.6330033753267,-695.3868994535703,-560.2195170198179,-574.835686644332,-576.4767834334716,-573.3869848770335,-638.5423083100425,-196.2984131153167,322.61142013085055,-1366.472424005404,
2,307.6330033753267,-695.3868994537759,-560.2195169629975,-574.8356939253197,-576.4762179604937,-573.416427324891,-637.4652167126162,-224.70249481846253,419.84460100547597,-1553.526645949169,
3,307.6330033753267,-695.3868994536809,-560.2195169892525,-574.8356905566966,-576.476479982747,-573.402758391226,-637.9665355773855,-211.4361864756977,374.21728386739227,-1464.910552028506,
4,307.6330033753267,-695.3868994535625,-560.21951702199,-574.835686367722,-576.4768047668817,-573.3858833918218,-638.5821701169057,-195.26264489946854,319.0987120408516,-1359.8154802996216,

time: 10 seconds
,0,1,2,3,4,5,6,7,8,9
0,303.7584447643116,770.3113867662463,594.4922157209952,614.4838409232743,616.3130435889383,610.8299568984904,699.3032746194546,205.33452627946733,-588.9612376825366,1673.4609351683516,
1,303.75844476431143,770.3113867667487,594.4922156499701,614.4838470911219,616.3126790049996,610.8453579482077,698.8263779429789,216.31415021300288,-622.1012157106325,1728.620610024774,
2,303.75844476431064,770.3113867689352,594.4922153398027,614.4838741435062,616.3110717123662,610.9136902336644,696.6926424567392,266.0061716075668,-773.8001515510165,1987.2628345567282,
3,303.75844476431104,770.3113867679249,594.4922154832801,614.483861612735,616.3118174323843,610.8819211345435,697.6873679240931,242.75396858226378,-702.463787453336,1864.325142604329,
4,303.7584447643115,770.3113867666651,594.4922156617572,614.4838460695714,616.3127392589228,610.8428191238115,698.9047378566054,214.51814964295056,-616.6685194807865,1719.5160693300795,

