time: 0 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,

time: 30 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-,-,-,-,-,-,-,316.5,988.9331088525907,988.9331087090177,988.9331086063207,988.9331085303368,988.9331084725451,988.9331084275688,197.81250012750513,197.81250012750476,1224.2966020622866,
1,-,-,-,-,-,-,-,316.5,988.9331088525907,988.9331087090177,988.9331086063207,988.9331085303368,988.9331084725451,988.9331084275688,197.81250012750513,197.81250012750476,1274.781750469359,
2,-,-,-,-,-,-,-,316.5,988.9331088525907,988.9331087090177,988.9331086063207,988.9331085303368,988.9331084725451,988.9331084275688,197.81250012750513,197.81250012750476,1493.5507269000034,
3,-,-,-,-,-,-,-,316.5,988.9331088525907,988.9331087090177,988.9331086063207,988.9331085303368,988.9331084725451,988.9331084275688,197.81250012750513,197.81250012750476,1392.58043008586,
4,-,-,-,-,-,-,-,316.5,988.9331088525907,988.9331087090177,988.9331086063207,988.9331085303368,988.9331084725451,988.9331084275688,197.81250012750513,197.81250012750476,1266.3675590681796,

time: 60 seconds
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-,-,-,-,-,-,-,394.4261154705431,3564.870054257757,3090.01166982916,3090.011669187317,3090.0116687124455,3090.011668351276,3856.956527886088,-2657.6505759429556,-4322.326453921458,8842.605855582662,
1,-,-,-,-,-,-,-,394.4261154705431,3564.870054257757,3090.01166982916,3090.011669187317,3090.0116687124455,3090.011668351276,3856.956527886088,-2657.6505759429556,-4540.990252963318,9373.334486112954,
2,-,-,-,-,-,-,-,394.4261154705431,3564.870054257757,3090.01166982916,3090.011669187317,3090.0116687124455,3090.011668351276,3856.956527886088,-2657.6505759429556,-5488.533382144705,11797.687326502679,
3,-,-,-,-,-,-,-,394.4261154705431,3564.870054257757,3090.01166982916,3090.011669187317,3090.0116687124455,3090.011668351276,3856.956527886088,-2657.6505759429556,-5051.205784060989,10656.393001571005,
4,-,-,-,-,-,-,-,394.4261154705431,3564.870054257757,3090.01166982916,3090.011669187317,3090.0116687124455,3090.011668351276,3856.956527886088,-2657.6505759429556,-4504.54628645634,9285.252837664264,

