time: 0 seconds/n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,

time: 5 seconds/n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,428.57218484366734,428.57218480876526,428.5721847848363,428.57218476772016,428.57218475505607,428.57218474542395,428.5721847379282,296.71875002125097,296.71875002125086,467.79943367704766,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,428.57218484366734,428.57218480876526,428.5721847848363,428.57218476772016,428.57218475505607,428.57218474542395,428.5721847379282,296.71875002125097,296.71875002125086,476.21362507822647,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,428.57218484366734,428.57218480876526,428.5721847848363,428.57218476772016,428.57218475505607,428.57218474542395,428.5721847379282,296.71875002125097,296.71875002125086,512.6751211500003,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,428.57218484366734,428.57218480876526,428.5721847848363,428.57218476772016,428.57218475505607,428.57218474542395,428.5721847379282,296.71875002125097,296.71875002125086,495.8467383476434,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,428.57218484366734,428.57218480876526,428.5721847848363,428.57218476772016,428.57218475505607,428.57218474542395,428.5721847379282,296.71875002125097,296.71875002125086,474.8112598446967,

time: 10 seconds/n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,593.0846053288361,580.32896553479,580.3289654699817,580.3289654236257,580.328965389328,580.3289653632419,601.6329892267162,200.91595625922508,154.6749596487111,805.5019965612644,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,593.0846053288361,580.32896553479,580.3289654699817,580.3289654236257,580.328965389328,580.3289653632419,601.6329892267162,200.91595625922508,148.6009652308816,834.2681108557372,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,593.0846053288361,580.32896553479,580.3289654699817,580.3289654236257,580.328965389328,580.3289653632419,601.6329892267162,200.91595625922508,122.28032275362104,962.3804054306299,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,593.0846053288361,580.32896553479,580.3289654699817,580.3289654236257,580.328965389328,580.3289653632419,601.6329892267162,200.91595625922508,134.4283115892796,902.6304806230446,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,593.0846053288361,580.32896553479,580.3289654699817,580.3289654236257,580.328965389328,580.3289653632419,601.6329892267162,200.91595625922508,149.61329763385316,829.4841230096127,

time: 15 seconds/n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,836.818550489091,784.3213043478451,785.822599132377,785.8225990382176,785.822598968552,782.3507579469782,882.1455800352936,-12.839453401479973,-352.04638422645235,1617.4613818026717,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,836.818550489091,784.3213043478451,785.822599132377,785.8225990382176,785.822598968552,782.3507579469782,882.1455800352936,-8.426316832200472,-386.4299457602513,1698.6448257534105,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,836.818550489091,784.3213043478451,785.822599132377,785.8225990382176,785.822598968552,782.3507579469782,882.1455800352936,10.697274968010253,-538.4838227949214,2070.1098073197663,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,836.818550489091,784.3213043478451,785.822599132377,785.8225990382176,785.822598968552,782.3507579469782,882.1455800352936,1.8710018294516002,-467.8068380394125,1895.1066599761027,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,836.818550489091,784.3213043478451,785.822599132377,785.8225990382176,785.822598968552,782.3507579469782,882.1455800352936,-9.161839593747036,-380.72904704170594,1685.1808293486436,

time: 20 seconds/n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
