time: 0 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,

time: 1 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.5,316.5,316.50000000000006,316.5,316.5,316.5,316.50000000000006,316.5,309.54299999999995,
1,316.5,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,315.07030000000003,
2,316.5,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,316.16360000000003,
3,316.5,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,315.659,
4,316.5,316.5,316.5,316.49999999999994,316.5,316.5,316.50000000000006,316.5,316.5,315.02825,

time: 2 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.4583632249007,316.4671018073289,316.47335246393646,316.4779772429227,316.4814947666225,316.4842322271814,316.486404318335,315.5659270019121,304.7799921871994,
1,316.32683085484047,273.8881261562163,273.27495908905087,273.27183376074714,273.26952137125403,273.2677626094041,273.2663938791247,274.05659724952534,320.3809676899514,315.07422162067843,
2,316.32683085484047,273.8673077686666,273.25850999271535,273.25850999271535,273.2585099927154,273.2585099927154,273.25850999271535,274.0497994086928,320.53398156590737,316.9370285257986,
3,316.32683085484047,273.8881261562163,273.27495908905087,273.27183376074714,273.26952137125403,273.2677626094041,273.2663938791247,274.05659724952534,320.46081012745134,316.0734141100192,
4,316.5,316.47918161245036,316.4835509036645,316.48667623196815,316.4889886214614,316.4907473833113,316.4921161135908,316.4932021591674,316.30512896970606,313.98717032490407,

time: 3 secds
,0,1,2,3,4,5,6,7,8,9
0,316.49944702223144,316.38068517971277,316.40365973681156,316.4219607321546,316.43550247432495,316.44580270275446,316.45381907967595,316.43298723738724,314.2313959775028,301.27986705715784,
1,315.9993506393909,255.66477071814936,253.97007384064494,253.94449080754097,253.93788620973947,253.93286224054782,253.95275876017354,256.0288074083757,317.78301807379336,315.05328160222695,
2,315.99879766162235,255.60664566805028,253.92310484330008,253.90643851901254,253.90643349793288,253.90643031788048,253.93023495358614,256.0143941135158,318.15486825686025,317.5235481938076,
3,315.9993506393909,255.66479005413635,253.97008591200643,253.94449872756124,253.93789161921984,253.93286606000206,253.9527615331928,256.03120525424765,317.9791089820739,316.3727655465929,
4,316.49972351111575,316.4403232538694,316.4518177970443,316.4609724460569,316.4677458276821,316.4728975319231,316.47690676681884,316.4746582633404,316.0195913683475,313.2014731178634,

time: 4 secds
,0,1,2,3,4,5,6,7,8,9
0,316.4978557959427,316.2718329625111,316.31195553791525,316.34759226532304,316.3740344544323,316.39414831370937,316.4090017065114,316.3308686778653,312.7626733226324,298.54029652812187,
1,315.53434979034387,239.20158405061954,236.07535925485095,235.99783559901772,235.98479757110937,235.97594581482423,236.0517805258774,239.7102606188642,313.5462140819599,314.36423354441285,
2,315.53222331770013,239.09325194135144,235.98596981723784,235.9253630154709,235.9248854984908,235.92559190385361,236.00902710401098,239.68992635013194,314.16145325965357,317.3384542383626,
3,315.53435056583515,239.2016566239793,236.07540586678246,235.99786617626876,235.9848184534051,235.9759605578682,236.05186330855025,239.71824495416783,313.87421232771493,315.94703830593977,
4,316.4989275102257,316.38584252056773,316.40593029327715,316.423764989809,316.43699595916513,316.4470591417416,316.454735656249,316.442734895319,315.697465954285,312.5727260711605,

time: 5 secds
,0,1,2,3,4,5,6,7,8,9
0,316.49480084663355,316.13604230992735,316.1941823861122,316.2518915264951,316.294927941819,316.3276453030802,316.34970872374464,316.17950784744954,311.28835382724515,296.28500040212117,
1,314.9467962018201,224.30991887841074,219.49855819583598,219.33399442178455,219.31197887312354,219.29990872350785,219.47086851280002,224.8706260746964,308.20834761911044,312.779675886379,
2,314.9416818077365,224.14144612762723,219.35681258713012,219.2189379304537,219.21684796886254,219.21995081326426,219.40338654274265,224.84696027825333,309.06969706732224,316.17017972469324,
3,314.9467999553778,224.31008931943776,219.49867062278304,219.33406822281,219.3120292688303,219.29994647553482,219.47119729136833,224.88745576569707,308.6727546036814,314.57912988798455,
4,316.497398538803,316.3178441839087,316.3469745619016,316.3758692102377,316.3974116987805,316.41379316668525,316.4258804486747,316.3974383510781,315.3660469316091,312.0446791727057,

time: 6 secds
,0,1,2,3,4,5,6,7,8,9
0,316.48990956365407,315.9770011835508,316.0524339385255,316.13639095533244,316.1994405152247,316.2472972141726,316.27582255419554,315.9821125805576,309.8667165344879,294.3576831562444,
1,314.2500489306024,210.82316728240534,204.15120870213917,203.86222734513004,203.82820965433214,203.81466794616765,204.11975243086403,211.32285153554153,302.1121821767144,310.27732066560753,
2,314.24020178061966,210.58706748320566,203.94893728394783,203.69778520938613,203.692220537839,203.70037412719245,204.02401610366718,211.29852829187976,303.2088055161259,313.99671558452053,
3,314.25005983739345,210.82348787946592,204.15142553651611,203.86236987876072,203.82830704228,203.8147476889287,204.12057282532766,211.35151443645717,302.71044238755945,312.24844495623813,
4,316.4949492840019,316.2381615355202,316.27598786690055,316.31804490827994,316.34961768249735,316.37361479948146,316.39058590447627,316.33953148456055,315.0384333053458,311.58439590118013,

time: 7 secds
,0,1,2,3,4,5,6,7,8,9
0,316.4828561170996,315.7979218398603,315.8886974025699,316.0025203780475,316.0887387981999,316.1540056087848,316.1872934812193,315.7433348944065,308.5206326264902,292.66641578956273,
1,313.45604480371946,198.5939745094209,189.94897350851704,189.49832435128798,189.44882338128642,189.43652087574995,189.91168039298444,198.91179113367798,295.48767860184176,306.9297745041865,
2,313.4394444587681,198.28477373347633,189.6795835970695,189.2789067581155,189.2673318954666,189.2840086946077,189.78500802640139,198.88912076836604,296.7990004953848,310.886954682745,
3,313.4560694660983,198.594502764887,189.9493392931181,189.49856527310916,189.4489882670617,189.43666989079043,189.91329951308555,198.95482887804036,296.21210183696286,309.0268163130483,
4,316.49141557838146,316.1483920417741,316.19395509344736,316.2510010227019,316.29419385097475,316.3269967143201,316.3490880958589,316.2700757965589,314.7203014780565,311.1719597866018,

time: 8 secds
,0,1,2,3,4,5,6,7,8,9
0,316.47335611294767,315.6016030361259,315.70484975979605,315.85161514158335,315.96390433149486,316.04858085081526,316.0841787527071,315.4681452186077,307.2555876672217,291.15436440588246,
1,312.5754616027878,187.4918294860863,176.81183219439072,176.16407338872096,176.09523405591327,176.08760918748547,176.764102292218,187.50680112812822,288.49721115820614,302.84772773304627,
2,312.54985934286805,187.1057027590857,176.470130317196,175.8851670098981,175.86447873154256,175.8937534019762,176.60452899297542,187.4874601335056,289.9950789003009,306.9483575543705,
3,312.5755094269166,187.49262618456368,176.81239618138065,176.1644457895256,176.09548965700145,176.08786374326849,176.7668676833143,187.56621341155736,289.3360863462507,305.02411008973536,
4,316.486653763527,316.049928123589,316.10180683918736,316.17539968727783,316.23167858640585,316.2743726793255,316.30162394511774,316.19020069463335,314.4135335941065,310.7948377369083,

time: 9 secds
,0,1,2,3,4,5,6,7,8,9
0,316.4611618907689,315.3904837790934,315.5026564469421,315.6849232091017,315.8259391858618,315.9317531566596,315.9666463029746,315.1613099225555,306.0689253327098,289.78429715190987,
1,311.617860973882,177.40097829446182,164.66416625891262,163.78678813796537,163.6944930703578,163.69545945093924,164.5990272598078,176.99666687344754,281.26080065280865,298.15140187206123,
2,311.5808206820562,176.93544573357366,164.24619284876215,163.44483367797406,163.4114937360326,163.45780726029716,164.4051848542445,176.98153146164572,282.91107022075,302.29978828808476,
3,311.61794447942265,177.402105988986,164.6649812968684,163.7873279092787,163.69486506465398,163.69586477837984,164.60330567662115,177.07386087690202,282.19922584199446,300.3604608462071,
4,316.4805383704162,315.9439837563569,316.0004187248963,316.0918597772058,316.16257165516595,316.2161411115563,316.24843360479963,316.10099311144813,314.1181485015683,310.4447754308813,

time: 10 secds
,0,1,2,3,4,5,6,7,8,9
0,316.4460583814936,315.1666898152249,315.2837719278812,315.50361140892176,315.6757713396414,315.8041828850777,315.83496309655936,314.82717383152806,304.95453540087783,288.53031086487397,
1,310.59181376442456,168.21861485868297,153.43476165391326,152.29888573738742,152.17887637474712,152.19258157550902,153.34316954941616,167.2859515608964,273.8705033787263,292.9568456009636,
2,310.54074725967087,167.67228784398674,152.93763864450182,151.89116716916712,151.84134282597023,151.90927468814192,153.11417628936752,167.27500297684227,275.6344161449425,297.05794562716386,
3,310.5919488367469,168.22013669719627,153.43588320049648,152.29963100738965,152.179392683479,152.19319121760475,153.34932691774165,167.38172227800897,274.89110732755483,295.1526882871166,
4,316.472960075858,315.8316174820893,315.8906116444003,316.00096003780527,316.08733696658913,316.1526683881528,316.1897596028729,316.0034500353291,313.8333183192585,310.1160722530685,

time: 11 secds
,0,1,2,3,4,5,6,7,8,9
0,316.4278594539698,314.9320738849181,315.0497416984799,315.3087709912511,315.51425981833063,315.66646968835045,315.6894780016727,314.46959360582105,303.90518469866026,287.37335225237337,
1,309.5050101076074,159.85330985677516,143.05674857833813,141.63750665519524,141.48550117247427,141.5161120746779,142.92795454686149,158.29225200614073,266.3988690985971,287.36994443482274,
2,309.43720768675934,159.22567917774546,142.47853993984458,141.16205102434557,141.09175091469587,141.18581512858313,142.66331572705965,158.28453725477124,268.2343112026743,291.3310672066337,
3,309.50521620059936,159.8552886849367,143.05823383346427,141.63849728854402,141.48619175477512,141.51698672527104,142.93633787557945,158.40678630869857,267.4824677302449,289.5081874311722,
4,316.46382389987934,315.7137523388121,315.7731527271231,315.90324186989744,316.0064051545591,316.08429184903787,316.12584475353526,315.8984631874157,313.5578940453679,309.8046101764189,

time: 12 secds
,0,1,2,3,4,5,6,7,8,9
0,316.4064046886904,314.68825061353374,314.8020053553552,315.1014226159446,315.3421995855359,315.5191604569509,315.5306039228693,314.0919428208742,302.9136349493618,286.2987428596961,
