time: 0 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
1,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
2,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
3,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,
4,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,316.5,

time: 1 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5,316.5,316.5,316.50000000000006,316.5,316.5,316.5,316.50000000000006,316.5,309.54299999999995,
1,320.7383662537664,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,315.07030000000003,
2,320.7383662537664,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,316.16360000000003,
3,320.7383662537664,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810435,294.0855630810436,294.0855630810435,294.0855630810435,320.45624999999995,315.659,
4,316.5,316.5,316.5,316.49999999999994,316.5,316.5,316.50000000000006,316.5,316.5,315.02825,

time: 2 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5095977272748,316.4583632249007,316.4671018073289,316.47335246393646,316.4779772429227,316.4814947666225,316.4842322271814,316.486404318335,315.5659270019121,304.7799921871994,
1,324.8483308536684,274.0032442811234,273.27495908905087,273.27183376074714,273.26952137125403,273.2677626094041,273.2663938791247,274.05659724952534,320.3809676899514,315.07422162067843,
2,324.8550313313346,273.98242589357375,273.25850999271535,273.25850999271535,273.2585099927154,273.2585099927154,273.25850999271535,274.0497994086928,320.53398156590737,316.9370285257986,
3,324.8483308536684,274.0032442811234,273.27495908905087,273.27183376074714,273.26952137125403,273.2677626094041,273.2663938791247,274.05659724952534,320.46081012745134,316.0734141100192,
4,316.5047988636374,316.47918161245036,316.4835509036645,316.48667623196815,316.4889886214614,316.4907473833113,316.4921161135908,316.4932021591674,316.30512896970606,313.98717032490407,

time: 3 secds
,0,1,2,3,4,5,6,7,8,9
0,316.52828277055187,316.38115970523995,316.40365973681156,316.4219607321546,316.43550247432495,316.44580270275446,316.45381907967595,316.43298723738724,314.2313959775028,301.27986705715784,
1,328.84487794032526,255.99641113340692,253.97322372109392,253.94449080754097,253.93788620973947,253.93286224054782,253.95275876017354,256.0288074083757,317.78301807379336,315.05328160222695,
2,328.8646349010634,255.9385749957469,253.92625472374905,253.90643851901254,253.90643349793288,253.90643031788048,253.93023495358614,256.0143941135158,318.15486825686025,317.5235481938076,
3,328.8448703537514,255.99643046939389,253.9732357924554,253.94449872756124,253.93789161921984,253.93286606000206,253.9527615331928,256.03120525424765,317.9791089820739,316.3727655465929,
4,316.51414681875923,316.44056051663296,316.4518177970443,316.4609724460569,316.4677458276821,316.4728975319231,316.47690676681884,316.4746582633404,316.0195913683475,313.2014731178634,

time: 4 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5556052253203,316.27367836879597,316.3119731451113,316.34759226532304,316.3740344544323,316.39414831370937,316.4090017065114,316.3308686778653,312.7626733226324,298.54029652812187,
1,332.741348614101,239.83920800185058,236.08717563315315,235.9979222935332,235.98479757110937,235.97594581482423,236.0517805258774,239.7102606188642,313.5462140819599,314.36423354441285,
2,332.78022832934465,239.73198602109252,235.99779641238467,235.92544970998637,235.9248854984908,235.92559190385361,236.00902710401098,239.68992635013194,314.16145325965357,317.3384542383626,
3,332.7413187825104,239.83928014878347,236.0872222450846,235.99795287078422,235.9848184534051,235.9759605578682,236.05186330855025,239.71824495416783,313.87421232771493,315.94703830593977,
4,316.52782394721464,316.386765591657,316.4059390968752,316.423764989809,316.43699595916513,316.4470591417416,316.454735656249,316.442734895319,315.697465954285,312.5727260711605,

time: 5 secds
,0,1,2,3,4,5,6,7,8,9
0,316.5911685851219,316.14053087362936,316.19426678471984,316.2518921141672,316.294927941819,316.3276453030802,316.34970872374464,316.17950784744954,311.28835382724515,296.28500040212117,
1,336.5496387853726,225.33257337578127,219.52629382867437,219.33439512522662,219.31198127064323,219.29990872350785,219.47086851280002,224.8706260746964,308.20834761911044,312.779675886379,
2,336.6134646708712,225.16676930558575,219.38459613294623,219.21933896662878,219.21685036638226,219.21995081326426,219.40338654274265,224.84696027825333,309.06969706732224,316.17017972469324,
3,336.54956541172027,225.33274175810462,219.5264062374928,219.3344689262521,219.31203166634998,219.29994647553482,219.47119729136833,224.88745576569707,308.6727546036814,314.57912988798455,
4,316.545636681823,316.3200902586481,316.34701677773387,316.37586950407376,316.3974116987805,316.41379316668525,316.4258804486747,316.3974383510781,315.3660469316091,312.0446791727057,

time: 6 secds
,0,1,2,3,4,5,6,7,8,9
0,316.6346235255268,315.98574103575197,316.0526768659196,316.13639430754534,316.1994405338323,316.2472972141726,316.27582255419554,315.9821125805576,309.8667165344879,294.3576831562444,
1,340.2803713461661,212.30080628668128,204.20334704091533,203.86333965900116,203.82822282333652,203.81466801273368,204.11975243086403,211.32285153554153,302.1121821767144,310.27732066560753,
2,340.37476414809015,212.0698437282195,204.00121058399972,203.69889936910747,203.69223371722288,203.70037419375848,204.02401610366718,211.29852829187976,303.2088055161259,313.99671558452053,
3,340.2802268587923,212.30112091573025,204.2035637722377,203.86348219195827,203.8283202112844,203.81474775549472,204.12057282532766,211.35151443645717,302.71044238755945,312.24844495623813,
4,316.56741474309223,316.2425367061577,316.27610942616855,316.3180465850161,316.3496176918011,316.37361479948146,316.39058590447627,316.33953148456055,315.0384333053458,311.58439590118013,

time: 7 secds
,0,1,2,3,4,5,6,7,8,9
0,316.68566246152534,315.8128219328732,315.8892416657747,316.00253154110163,316.0887389213547,316.1540056093563,316.1872934812193,315.7433348944065,308.5206326264902,292.66641578956273,
1,343.94304621182533,200.5886022659879,190.0348257775275,189.50072819206787,189.44886561099037,189.43652129934864,189.91168039483878,198.91179113367798,295.48767860184176,306.9297745041865,
2,344.0734584887992,200.28806264044266,189.7657318586194,189.28131657784414,189.2673741917052,189.28400911852208,189.78500802825573,198.88912076836604,296.7990004953848,310.886954682745,
3,343.94279706944,200.58911705527157,190.03519122010914,189.50096910947065,189.4490304967425,189.43667031438912,189.9132995149399,198.95482887804036,296.21210183696286,309.0268163130483,
4,316.59300845693843,316.15585402659025,316.19422754759586,316.2510066084481,316.2941939125741,316.32699671460585,316.3490880958589,316.2700757965589,314.7203014780565,311.1719597866018,

time: 8 secds
,0,1,2,3,4,5,6,7,8,9
0,316.744014775881,315.62484245439373,315.7058957351912,315.8516434859254,315.96390479761374,316.0485808551223,316.08417875272426,315.4681452186077,307.2555876672217,291.15436440588246,
1,347.54617126620633,190.05849124498124,176.94121830634472,176.16853049112456,176.09533731790913,176.0876107289102,176.7641023056333,187.50680112818,288.49721115820614,302.84772773304627,
2,347.7179170042642,189.68572716088326,176.60007343176363,175.88963888165227,175.86458223744935,175.8937549456975,176.60452900640016,187.4874601335574,289.9950789003009,306.9483575543705,
3,347.5457782125639,190.05926188043998,176.94178142778756,176.16890287535546,176.09559291882468,176.0878652846924,176.76686769672963,187.56621341160917,289.3360863462507,305.02411008973536,
4,316.62228640293773,316.06157113778346,316.10233065674777,316.17541387561425,316.231678819633,316.27437268147975,316.30162394512644,316.19020069463335,314.4135335941065,310.7948377369083,

time: 9 secds
,0,1,2,3,4,5,6,7,8,9
0,316.80944263032,315.4244848043967,315.50446693025253,315.68498397891005,315.8259405099593,315.93175317492813,315.96664630312017,315.16130992255603,306.0689253327098,289.78429715190987,
1,351.09737680638204,180.5886199222396,164.8471641497415,163.79423295607685,163.69470629261312,163.69546366067883,164.59902731443262,176.99666687386744,281.26080065281525,298.15140187206123,
2,351.3156568766383,180.1424317542087,164.430135060231,163.45230930778425,163.41170762944546,163.45781147944163,164.40518490894627,176.98153146206585,282.9110702207565,302.29978828808476,
3,351.09679508201083,180.58970218613752,164.84797733803214,163.79477268072773,163.69507828618634,163.695868988113,164.603305731246,177.07386087732192,282.199225842001,300.3604608462071,
4,316.65513334970274,315.96102523383666,316.0013257690568,316.0918902085891,316.162572317934,316.2161411206968,316.2484336048725,316.10099311144836,314.1181485015683,310.4447754308813,

time: 10 secds
,0,1,2,3,4,5,6,7,8,9
0,316.8817372836737,315.21409424130223,315.28667563851104,315.5037273065068,315.675774476342,315.80418294251547,315.83496309724376,314.82717383153283,304.9545354008779,288.53031086487397,
1,354.60351571095055,172.07082968553976,153.68151232434627,152.31041072456327,152.17926805055725,152.19259116313032,153.34316971427324,167.28595156278834,273.8705033787846,292.9568456009653,
2,354.87343977258985,171.5511951744689,153.18587317467086,151.90274934600336,151.84173604200203,151.90928430431237,153.11417645457269,167.27500297873672,275.6344161450007,297.05794562716557,
3,354.60269522818055,172.07227815046082,153.6826303546414,152.31115588500248,152.17978435704438,152.19320080519657,153.3493270825985,167.38172227990094,274.891107327613,295.1526882871183,
4,316.6914484400055,315.8553863991594,315.89206698172666,316.0010180980224,316.08733853722714,316.1526684169013,316.1897596032154,316.00345003533147,313.8333183192585,310.1160722530685,

time: 11 secds
,0,1,2,3,4,5,6,7,8,9
0,316.96071585155033,314.99572214879396,315.05413568987467,315.30897375167524,315.5142663618942,315.6664698374378,315.6894780040331,314.46959360584583,303.905184698661,287.3733522523734,
1,358.0707512396185,164.40898842058093,143.37730636946,141.65434416285748,141.48616123641395,141.51613130352047,142.92795495757656,158.2922520123959,266.398869098881,287.369944434839,
2,358.39735660039804,163.81683676677991,142.80129831829774,141.1789859248746,141.0924140915707,141.1858344289715,142.66331613893075,158.28453726103885,268.2343112029585,291.33106720664995,
3,358.06963672620765,164.41085544470783,143.37878549231098,141.65533456965355,141.4868518129611,141.51700595401377,142.9363382862934,158.40678631495368,267.4824677305287,289.50818743118845,
4,316.7311435934206,315.74567892637685,315.7753558919714,315.9033434852984,316.00640843234663,316.08429192368476,316.1258447547166,315.8984631874281,313.55789404536824,309.8046101764189,

time: 12 secds
,0,1,2,3,4,5,6,7,8,9
0,317.04621845106055,314.77116337228017,314.80835653954927,315.1017545394377,315.34221200385883,315.51916079490206,315.53060392953415,314.09194282096723,302.9136349493661,286.2987428596964,
